Comune,CAP,Provincia,RAGSOC,INDIRIZZO,ID Google,ID Facebook
Desio,20832,MB,Bar Centrale,Piazza Conciliazione,,
Desio,20832,MB,Caffè Vergnano 1882,Corso Italia 49,,
Desio,20832,MB,Caffettiamo snc,Via Portichetto 16,ChIJ-0rGpyK8hkcRuE3QWjmvPRc,912863432136676
Desio,20832,MB,Desìo,Via Lombardia 6,,892935304121545
Desio,20832,MB,Elisir Cafè,Via Giuseppe Garibaldi 157,,1517590881838289
Desio,20832,MB,Elite Cafè,Via Olmetto 10,,
Desio,20832,MB,La piazzetta,Corso Italia 79,,288253537950416
Desio,20832,MB,Madam Café,Via per Cesano Maderno 148,ChIJ66y5XMu9hkcRnyq1gLUvl0c,
Desio,20832,MB,MOMA CAFE DESIO,VIA MATTEOTTI 80 ANG VIA MILANO,,1557995974464760
Desio,20832,MB,New Life Cafe',Via De Gasperi 13,,1525956497662048
Desio,20832,MB,Officina del Caffè,Via Garibaldi 99,,265273720298363
Desio,20832,MB,Pan&Cafe,Corso Italia 13,ChIJUaujnD68hkcRnkW7JVBLnoU,172517439432668
Desio,20832,MB,Sottozero,Via Milano 361,,
Desio,20832,MB,Torrefazione Brasilia,Via Giacomo Matteotti 8,,718707681542991
